"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
1,-1.942,103.252,40,"Island",1,"A",400,"Oil palm yield",0.535
2,-1.942,103.253,20,"Island",3,"ACF",99,"Oil palm yield",0.538
3,-1.943,103.252,20,"Island",2,"CD",100,"Oil palm yield",0.617
4,-1.943,103.253,10,"Island",1,"F",25,"Oil palm yield",0.478
5,-1.945,103.252,40,"Island",1,"B",400,"Oil palm yield",0.981
6,-1.945,103.253,5,"Island",1,"E",6,"Oil palm yield",0.494
7,-1.945,103.255,40,"Island",3,"AEF",399,"Oil palm yield",0.478
8,-1.946,103.249,5,"Island",1,"F",6,"Oil palm yield",0.507
9,-1.946,103.251,10,"Island",3,"ABD",24,"Oil palm yield",0.526
10,-1.946,103.252,20,"Island",0,"Z",0,"Oil palm yield",0.444
11,-1.946,103.253,10,"Island",1,"D",25,"Oil palm yield",0.388
12,-1.946,103.254,20,"Island",1,"C",100,"Oil palm yield",0.57
13,-1.946,103.256,10,"Island",1,"E",25,"Oil palm yield",0.428
14,-1.947,103.249,10,"Island",1,"C",25,"Oil palm yield",0.561
15,-1.947,103.25,20,"Island",1,"B",100,"Oil palm yield",0.545
16,-1.947,103.252,5,"Island",3,"ACD",6,"Oil palm yield",0.548
17,-1.947,103.253,20,"Island",1,"F",100,"Oil palm yield",0.834
18,-1.947,103.254,5,"Island",2,"DE",6,"Oil palm yield",0.532
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Oil palm yield",0.609
20,-1.947,103.257,10,"Island",1,"B",25,"Oil palm yield",0.468
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Oil palm yield",0.637
22,-1.949,103.249,5,"Island",2,"BF",6,"Oil palm yield",0.628
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Oil palm yield",0.536
24,-1.948,103.254,40,"Island",2,"CE",400,"Oil palm yield",0.658
25,-1.949,103.256,5,"Island",1,"A",6,"Oil palm yield",0.468
26,-1.948,103.257,40,"Island",2,"DF",400,"Oil palm yield",1
27,-1.95,103.246,10,"Island",2,"AE",24,"Oil palm yield",0.407
28,-1.95,103.248,5,"Island",1,"B",6,"Oil palm yield",0.396
29,-1.95,103.249,40,"Island",3,"BCD",399,"Oil palm yield",0.53
30,-1.95,103.253,20,"Island",1,"E",100,"Oil palm yield",0.366
31,-1.95,103.254,5,"Island",1,"C",6,"Oil palm yield",0.529
32,-1.95,103.256,10,"Island",2,"CF",24,"Oil palm yield",0.583
33,-1.95,103.257,20,"Island",3,"BDE",99,"Oil palm yield",0.437
34,-1.951,103.245,10,"Island",2,"BD",24,"Oil palm yield",0.546
35,-1.952,103.247,40,"Island",0,"Z",0,"Oil palm yield",0.697
36,-1.951,103.248,20,"Island",2,"AF",100,"Oil palm yield",0.445
37,-1.951,103.249,10,"Island",0,"Z",0,"Oil palm yield",0.556
38,-1.952,103.25,20,"Island",1,"D",100,"Oil palm yield",0.417
39,-1.951,103.252,5,"Island",2,"AC",6,"Oil palm yield",0.391
40,-1.951,103.257,5,"Island",0,"Z",0,"Oil palm yield",0.477
41,-1.953,103.244,10,"Island",1,"A",25,"Oil palm yield",0.512
42,-1.953,103.245,5,"Island",1,"D",6,"Oil palm yield",0.599
43,-1.95,103.259,40,"Island",1,"C",400,"Oil palm yield",0.697
44,-1.953,103.248,5,"Island",3,"BEF",6,"Oil palm yield",0.439
45,-1.953,103.249,40,"Island",1,"E",400,"Oil palm yield",0
46,-1.954,103.242,40,"Island",2,"AB",400,"Oil palm yield",0.633
47,-1.954,103.244,20,"Island",2,"BE",100,"Oil palm yield",0.571
48,-1.954,103.245,10,"Island",3,"CEF",24,"Oil palm yield",0.626
49,-1.954,103.247,40,"Island",1,"F",400,"Oil palm yield",0.466
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Oil palm yield",0.511
51,-1.954,103.249,20,"Island",1,"A",100,"Oil palm yield",0.333
52,-1.955,103.243,40,"Island",1,"D",400,"Oil palm yield",0.457
53,-1.943,103.255,10,"Control",,,0,"Oil palm yield",0.495
54,-1.951,103.256,10,"Control",,,0,"Oil palm yield",0.488
55,-1.951,103.253,10,"Control",,,0,"Oil palm yield",0.487
56,-1.955,103.246,10,"Control",,,0,"Oil palm yield",0.498
1,-1.942,103.252,40,"Island",1,"A",400,"Microclimate buffer",0.722
2,-1.942,103.253,20,"Island",3,"ACF",99,"Microclimate buffer",0.778
3,-1.943,103.252,20,"Island",2,"CD",100,"Microclimate buffer",0.789
4,-1.943,103.253,10,"Island",1,"F",25,"Microclimate buffer",0.811
5,-1.945,103.252,40,"Island",1,"B",400,"Microclimate buffer",0.834
6,-1.945,103.253,5,"Island",1,"E",6,"Microclimate buffer",0.843
7,-1.945,103.255,40,"Island",3,"AEF",399,"Microclimate buffer",0.741
8,-1.946,103.249,5,"Island",1,"F",6,"Microclimate buffer",0.939
9,-1.946,103.251,10,"Island",3,"ABD",24,"Microclimate buffer",0.834
10,-1.946,103.252,20,"Island",0,"Z",0,"Microclimate buffer",0.705
11,-1.946,103.253,10,"Island",1,"D",25,"Microclimate buffer",0.796
12,-1.946,103.254,20,"Island",1,"C",100,"Microclimate buffer",0.723
13,-1.946,103.256,10,"Island",1,"E",25,"Microclimate buffer",0.811
14,-1.947,103.249,10,"Island",1,"C",25,"Microclimate buffer",0.803
15,-1.947,103.25,20,"Island",1,"B",100,"Microclimate buffer",0.842
16,-1.947,103.252,5,"Island",3,"ACD",6,"Microclimate buffer",0.796
17,-1.947,103.253,20,"Island",1,"F",100,"Microclimate buffer",0.722
18,-1.947,103.254,5,"Island",2,"DE",6,"Microclimate buffer",0.859
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Microclimate buffer",0.774
20,-1.947,103.257,10,"Island",1,"B",25,"Microclimate buffer",0.761
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Microclimate buffer",0.671
22,-1.949,103.249,5,"Island",2,"BF",6,"Microclimate buffer",0.811
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Microclimate buffer",0.693
24,-1.948,103.254,40,"Island",2,"CE",400,"Microclimate buffer",0.859
25,-1.949,103.256,5,"Island",1,"A",6,"Microclimate buffer",0.796
26,-1.948,103.257,40,"Island",2,"DF",400,"Microclimate buffer",0.747
27,-1.95,103.246,10,"Island",2,"AE",24,"Microclimate buffer",1
28,-1.95,103.248,5,"Island",1,"B",6,"Microclimate buffer",0.913
29,-1.95,103.249,40,"Island",3,"BCD",399,"Microclimate buffer",0.834
30,-1.95,103.253,20,"Island",1,"E",100,"Microclimate buffer",0.843
31,-1.95,103.254,5,"Island",1,"C",6,"Microclimate buffer",0.767
32,-1.95,103.256,10,"Island",2,"CF",24,"Microclimate buffer",0.803
33,-1.95,103.257,20,"Island",3,"BDE",99,"Microclimate buffer",0.915
34,-1.951,103.245,10,"Island",2,"BD",24,"Microclimate buffer",0.693
35,-1.952,103.247,40,"Island",0,"Z",0,"Microclimate buffer",0.764
36,-1.951,103.248,20,"Island",2,"AF",100,"Microclimate buffer",0.722
37,-1.951,103.249,10,"Island",0,"Z",0,"Microclimate buffer",0.789
38,-1.952,103.25,20,"Island",1,"D",100,"Microclimate buffer",0.688
39,-1.951,103.252,5,"Island",2,"AC",6,"Microclimate buffer",0.819
40,-1.951,103.257,5,"Island",0,"Z",0,"Microclimate buffer",0.754
41,-1.953,103.244,10,"Island",1,"A",25,"Microclimate buffer",0.754
42,-1.953,103.245,5,"Island",1,"D",6,"Microclimate buffer",0.789
43,-1.95,103.259,40,"Island",1,"C",400,"Microclimate buffer",0.774
44,-1.953,103.248,5,"Island",3,"BEF",6,"Microclimate buffer",0.782
45,-1.953,103.249,40,"Island",1,"E",400,"Microclimate buffer",0.761
46,-1.954,103.242,40,"Island",2,"AB",400,"Microclimate buffer",0.95
47,-1.954,103.244,20,"Island",2,"BE",100,"Microclimate buffer",0.882
48,-1.954,103.245,10,"Island",3,"CEF",24,"Microclimate buffer",0.785
49,-1.954,103.247,40,"Island",1,"F",400,"Microclimate buffer",0.666
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Microclimate buffer",0.656
51,-1.954,103.249,20,"Island",1,"A",100,"Microclimate buffer",0.741
52,-1.955,103.243,40,"Island",1,"D",400,"Microclimate buffer",0.826
53,-1.943,103.255,10,"Control",,,0,"Microclimate buffer",0.803
54,-1.951,103.256,10,"Control",,,0,"Microclimate buffer",0.789
55,-1.951,103.253,10,"Control",,,0,"Microclimate buffer",0.789
56,-1.955,103.246,10,"Control",,,0,"Microclimate buffer",0.761
1,-1.942,103.252,40,"Island",1,"A",400,"Water infiltration",0.027
2,-1.942,103.253,20,"Island",3,"ACF",99,"Water infiltration",0.581
3,-1.943,103.252,20,"Island",2,"CD",100,"Water infiltration",0.216
4,-1.943,103.253,10,"Island",1,"F",25,"Water infiltration",0.062
5,-1.945,103.252,40,"Island",1,"B",400,"Water infiltration",0.307
6,-1.945,103.253,5,"Island",1,"E",6,"Water infiltration",0.304
7,-1.945,103.255,40,"Island",3,"AEF",399,"Water infiltration",0.65
8,-1.946,103.249,5,"Island",1,"F",6,"Water infiltration",0.163
9,-1.946,103.251,10,"Island",3,"ABD",24,"Water infiltration",0.282
10,-1.946,103.252,20,"Island",0,"Z",0,"Water infiltration",0.806
11,-1.946,103.253,10,"Island",1,"D",25,"Water infiltration",0.056
12,-1.946,103.254,20,"Island",1,"C",100,"Water infiltration",0.836
13,-1.946,103.256,10,"Island",1,"E",25,"Water infiltration",0.283
14,-1.947,103.249,10,"Island",1,"C",25,"Water infiltration",0.656
15,-1.947,103.25,20,"Island",1,"B",100,"Water infiltration",0.711
16,-1.947,103.252,5,"Island",3,"ACD",6,"Water infiltration",0.193
17,-1.947,103.253,20,"Island",1,"F",100,"Water infiltration",0.36
18,-1.947,103.254,5,"Island",2,"DE",6,"Water infiltration",0.041
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Water infiltration",0.198
20,-1.947,103.257,10,"Island",1,"B",25,"Water infiltration",0.094
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Water infiltration",0.166
22,-1.949,103.249,5,"Island",2,"BF",6,"Water infiltration",0.344
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Water infiltration",0.245
24,-1.948,103.254,40,"Island",2,"CE",400,"Water infiltration",0.402
25,-1.949,103.256,5,"Island",1,"A",6,"Water infiltration",0.141
26,-1.948,103.257,40,"Island",2,"DF",400,"Water infiltration",0.325
27,-1.95,103.246,10,"Island",2,"AE",24,"Water infiltration",0.118
28,-1.95,103.248,5,"Island",1,"B",6,"Water infiltration",0.093
29,-1.95,103.249,40,"Island",3,"BCD",399,"Water infiltration",0.355
30,-1.95,103.253,20,"Island",1,"E",100,"Water infiltration",0.055
31,-1.95,103.254,5,"Island",1,"C",6,"Water infiltration",0.721
32,-1.95,103.256,10,"Island",2,"CF",24,"Water infiltration",0.262
33,-1.95,103.257,20,"Island",3,"BDE",99,"Water infiltration",0.083
34,-1.951,103.245,10,"Island",2,"BD",24,"Water infiltration",0.123
35,-1.952,103.247,40,"Island",0,"Z",0,"Water infiltration",0.355
36,-1.951,103.248,20,"Island",2,"AF",100,"Water infiltration",0.343
37,-1.951,103.249,10,"Island",0,"Z",0,"Water infiltration",0.289
38,-1.952,103.25,20,"Island",1,"D",100,"Water infiltration",0.592
39,-1.951,103.252,5,"Island",2,"AC",6,"Water infiltration",0.412
40,-1.951,103.257,5,"Island",0,"Z",0,"Water infiltration",0.049
41,-1.953,103.244,10,"Island",1,"A",25,"Water infiltration",0.543
42,-1.953,103.245,5,"Island",1,"D",6,"Water infiltration",0.083
43,-1.95,103.259,40,"Island",1,"C",400,"Water infiltration",0.091
44,-1.953,103.248,5,"Island",3,"BEF",6,"Water infiltration",1
45,-1.953,103.249,40,"Island",1,"E",400,"Water infiltration",0.675
46,-1.954,103.242,40,"Island",2,"AB",400,"Water infiltration",0.31
47,-1.954,103.244,20,"Island",2,"BE",100,"Water infiltration",0.396
48,-1.954,103.245,10,"Island",3,"CEF",24,"Water infiltration",0.22
49,-1.954,103.247,40,"Island",1,"F",400,"Water infiltration",0.537
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Water infiltration",0.216
51,-1.954,103.249,20,"Island",1,"A",100,"Water infiltration",0.138
52,-1.955,103.243,40,"Island",1,"D",400,"Water infiltration",0.087
53,-1.943,103.255,10,"Control",,,0,"Water infiltration",0.059
54,-1.951,103.256,10,"Control",,,0,"Water infiltration",0.147
55,-1.951,103.253,10,"Control",,,0,"Water infiltration",0.054
56,-1.955,103.246,10,"Control",,,0,"Water infiltration",0.147
1,-1.942,103.252,40,"Island",1,"A",400,"Evapotranspiration",0.3
2,-1.942,103.253,20,"Island",3,"ACF",99,"Evapotranspiration",0.252
3,-1.943,103.252,20,"Island",2,"CD",100,"Evapotranspiration",0.272
4,-1.943,103.253,10,"Island",1,"F",25,"Evapotranspiration",0.196
5,-1.945,103.252,40,"Island",1,"B",400,"Evapotranspiration",0.279
6,-1.945,103.253,5,"Island",1,"E",6,"Evapotranspiration",0.24
7,-1.945,103.255,40,"Island",3,"AEF",399,"Evapotranspiration",0.233
8,-1.946,103.249,5,"Island",1,"F",6,"Evapotranspiration",0.226
9,-1.946,103.251,10,"Island",3,"ABD",24,"Evapotranspiration",0.422
10,-1.946,103.252,20,"Island",0,"Z",0,"Evapotranspiration",0.455
11,-1.946,103.253,10,"Island",1,"D",25,"Evapotranspiration",0.308
12,-1.946,103.254,20,"Island",1,"C",100,"Evapotranspiration",0.555
13,-1.946,103.256,10,"Island",1,"E",25,"Evapotranspiration",0.357
14,-1.947,103.249,10,"Island",1,"C",25,"Evapotranspiration",0.255
15,-1.947,103.25,20,"Island",1,"B",100,"Evapotranspiration",0.055
16,-1.947,103.252,5,"Island",3,"ACD",6,"Evapotranspiration",0.047
17,-1.947,103.253,20,"Island",1,"F",100,"Evapotranspiration",0.547
18,-1.947,103.254,5,"Island",2,"DE",6,"Evapotranspiration",0.383
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Evapotranspiration",0.384
20,-1.947,103.257,10,"Island",1,"B",25,"Evapotranspiration",0.351
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Evapotranspiration",0.231
22,-1.949,103.249,5,"Island",2,"BF",6,"Evapotranspiration",0.365
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Evapotranspiration",0.055
24,-1.948,103.254,40,"Island",2,"CE",400,"Evapotranspiration",0.327
25,-1.949,103.256,5,"Island",1,"A",6,"Evapotranspiration",0.439
26,-1.948,103.257,40,"Island",2,"DF",400,"Evapotranspiration",0.607
27,-1.95,103.246,10,"Island",2,"AE",24,"Evapotranspiration",0.169
28,-1.95,103.248,5,"Island",1,"B",6,"Evapotranspiration",0.335
29,-1.95,103.249,40,"Island",3,"BCD",399,"Evapotranspiration",0.436
30,-1.95,103.253,20,"Island",1,"E",100,"Evapotranspiration",0.028
31,-1.95,103.254,5,"Island",1,"C",6,"Evapotranspiration",0.388
32,-1.95,103.256,10,"Island",2,"CF",24,"Evapotranspiration",0.534
33,-1.95,103.257,20,"Island",3,"BDE",99,"Evapotranspiration",0.565
34,-1.951,103.245,10,"Island",2,"BD",24,"Evapotranspiration",0.277
35,-1.952,103.247,40,"Island",0,"Z",0,"Evapotranspiration",0.426
36,-1.951,103.248,20,"Island",2,"AF",100,"Evapotranspiration",0.447
37,-1.951,103.249,10,"Island",0,"Z",0,"Evapotranspiration",0.368
38,-1.952,103.25,20,"Island",1,"D",100,"Evapotranspiration",0.917
39,-1.951,103.252,5,"Island",2,"AC",6,"Evapotranspiration",0.857
40,-1.951,103.257,5,"Island",0,"Z",0,"Evapotranspiration",0.498
41,-1.953,103.244,10,"Island",1,"A",25,"Evapotranspiration",0.496
42,-1.953,103.245,5,"Island",1,"D",6,"Evapotranspiration",0.377
43,-1.95,103.259,40,"Island",1,"C",400,"Evapotranspiration",0.599
44,-1.953,103.248,5,"Island",3,"BEF",6,"Evapotranspiration",0.809
45,-1.953,103.249,40,"Island",1,"E",400,"Evapotranspiration",1
46,-1.954,103.242,40,"Island",2,"AB",400,"Evapotranspiration",0.397
47,-1.954,103.244,20,"Island",2,"BE",100,"Evapotranspiration",0.428
48,-1.954,103.245,10,"Island",3,"CEF",24,"Evapotranspiration",0.397
49,-1.954,103.247,40,"Island",1,"F",400,"Evapotranspiration",0.944
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Evapotranspiration",0.738
51,-1.954,103.249,20,"Island",1,"A",100,"Evapotranspiration",0.708
52,-1.955,103.243,40,"Island",1,"D",400,"Evapotranspiration",0.486
53,-1.943,103.255,10,"Control",,,0,"Evapotranspiration",0.252
54,-1.951,103.256,10,"Control",,,0,"Evapotranspiration",0.394
55,-1.951,103.253,10,"Control",,,0,"Evapotranspiration",0.06
56,-1.955,103.246,10,"Control",,,0,"Evapotranspiration",0.37
1,-1.942,103.252,40,"Island",1,"A",400,"Litter input",0.322
2,-1.942,103.253,20,"Island",3,"ACF",99,"Litter input",0.62
3,-1.943,103.252,20,"Island",2,"CD",100,"Litter input",0.041
4,-1.943,103.253,10,"Island",1,"F",25,"Litter input",0.391
5,-1.945,103.252,40,"Island",1,"B",400,"Litter input",0.94
6,-1.945,103.253,5,"Island",1,"E",6,"Litter input",0.381
7,-1.945,103.255,40,"Island",3,"AEF",399,"Litter input",0.175
8,-1.946,103.249,5,"Island",1,"F",6,"Litter input",0.087
9,-1.946,103.251,10,"Island",3,"ABD",24,"Litter input",0.445
10,-1.946,103.252,20,"Island",0,"Z",0,"Litter input",0.498
11,-1.946,103.253,10,"Island",1,"D",25,"Litter input",0.256
12,-1.946,103.254,20,"Island",1,"C",100,"Litter input",0.264
13,-1.946,103.256,10,"Island",1,"E",25,"Litter input",0.891
14,-1.947,103.249,10,"Island",1,"C",25,"Litter input",0.14
15,-1.947,103.25,20,"Island",1,"B",100,"Litter input",0.764
16,-1.947,103.252,5,"Island",3,"ACD",6,"Litter input",0.11
17,-1.947,103.253,20,"Island",1,"F",100,"Litter input",0.496
18,-1.947,103.254,5,"Island",2,"DE",6,"Litter input",0.303
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Litter input",1
20,-1.947,103.257,10,"Island",1,"B",25,"Litter input",0.715
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Litter input",0.171
22,-1.949,103.249,5,"Island",2,"BF",6,"Litter input",0.086
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Litter input",0.771
24,-1.948,103.254,40,"Island",2,"CE",400,"Litter input",0.394
25,-1.949,103.256,5,"Island",1,"A",6,"Litter input",0.473
26,-1.948,103.257,40,"Island",2,"DF",400,"Litter input",0.145
27,-1.95,103.246,10,"Island",2,"AE",24,"Litter input",0.487
28,-1.95,103.248,5,"Island",1,"B",6,"Litter input",0.106
29,-1.95,103.249,40,"Island",3,"BCD",399,"Litter input",0.204
30,-1.95,103.253,20,"Island",1,"E",100,"Litter input",0.614
31,-1.95,103.254,5,"Island",1,"C",6,"Litter input",0.195
32,-1.95,103.256,10,"Island",2,"CF",24,"Litter input",0.428
33,-1.95,103.257,20,"Island",3,"BDE",99,"Litter input",0.421
34,-1.951,103.245,10,"Island",2,"BD",24,"Litter input",0.525
35,-1.952,103.247,40,"Island",0,"Z",0,"Litter input",0.099
36,-1.951,103.248,20,"Island",2,"AF",100,"Litter input",0.472
37,-1.951,103.249,10,"Island",0,"Z",0,"Litter input",0.294
38,-1.952,103.25,20,"Island",1,"D",100,"Litter input",0.363
39,-1.951,103.252,5,"Island",2,"AC",6,"Litter input",0.457
40,-1.951,103.257,5,"Island",0,"Z",0,"Litter input",0.139
41,-1.953,103.244,10,"Island",1,"A",25,"Litter input",0.059
42,-1.953,103.245,5,"Island",1,"D",6,"Litter input",0.232
